一级标签,二级标签,标签定义,用户问题,标准回答,回答来源,法规依据,依据编码,关键词,同义词,风险等级,适用场景,备注
业务申请,工商业报装,,商业餐饮用户燃气开户和居民有什么不同？,主要区别：须营业执照、食品经营许可证、法人身份证原件加盖公章；须通过消防验收取得合格证明；必须安装可燃气体报警装置并与切断阀联动；安装费按工程预算定额计取不适用阶梯计价；小微餐饮可通过极简报装通道当日申报当日踏勘。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条第十五条,,,,中,,
安全用气,设施保护,,新建房屋是否必须配套燃气管道？,规划区内的新建住宅必须配套燃气设施，同步设计施工验收。湖南省规定：10层以上住宅和20米以上使用燃气的公共建筑必须配套建设管道燃气设施。,湖南省地方法规,《湖南省燃气管理条例》第七条,,,,中,,
政策咨询,地方政策,,衡阳居民如何办理天然气开户？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,新房开通天然气需要多长时间？,受理后3个工作日上门踏勘，踏勘合格后5-7个工作日完成室内管道安装及挂表，装表后2个工作日气密性试验并通气。外线施工不超15个工作日，总流程约20个工作日。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,租房用户可以办理燃气开户吗？,可以。须提供：承租人身份证原件及复印件、房屋租赁合同原件、房屋权属证明复印件、产权人身份证复印件。建议签订《燃气使用安全责任书》，费用与普通居民一致。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,开户需要准备哪些证件材料？,必备材料：户主有效身份证原件及复印件、不动产权证或购房合同原件、开户申请表（现场填写）、如委托代办需委托书和代办人身份证。残疾人带残疾证优惠200元，低保户带低保证明享补贴。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
安全用气,设施保护,,老旧小区没有燃气管道可以申请安装吗？,可以。业委会或物业征集意愿，达70%以上住户同意后提交申请，公司勘查出具方案及预算（团购较散户优惠15%-20%），签合同后施工。纳入老旧小区改造的可获政府补贴，低保家庭安装费可减免。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,开户费用是多少有优惠政策吗？,居民安装费标准：1800元/户。残疾人持证优惠200元（1600元/户），低保家庭可全额或大幅减免，煤改气集中安装团购价下浮15%-20%，低保户用气后每月补助4立方米气加4元。,衡阳市天然气有限责任公司,发改价格规〔2019〕1131号,,,,低,,
业务申请,新装申请,,开户必须本人到场吗可以代办吗？,可以代办。代办人需带：户主身份证原件及复印件、代办人身份证原件及复印件、户主亲笔授权委托书、其他常规材料。代办人对代办事项真实性负责。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,开户后多久能用上气？,缴费后15个工作日完成户外管道安装，挂表后3个工作日装表，再3个工作日点火通气。总约21个工作日。点火前需自备合格灶具（须CCC认证和熄火保护）和金属波纹软管。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,新建小区燃气配套设施费由谁出？,已统一纳入房屋开发建设成本由开发商承担，购房者无需额外缴纳。开发商不得在购房款之外再收取初装费。违规收费可向住建局或12315投诉。,国家级法规,发改价格规〔2019〕1131号,,,,低,,
业务申请,过户变更,,二手房交易后燃气如何过户？,原户主结清欠费，新房主带不动产权证和身份证到营业厅，填写变更申请表，核对表底数完成户名变更。新老户主一同到场最高效，不收手续费。原户主无法到场新房主可持房产证单独办理。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,销户报停,,燃气可以销户吗流程是什么？,可以。带身份证到营业厅提交申请，结清欠费及违约金，工作人员上门拆表封堵管道，签字确认拆表底数，余额7个工作日退还。销户后再用气须重新开户缴费。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,销户报停,,燃气报停和销户有什么区别？,报停：暂停用气不拆表，账户保留，恢复时申请复供即可不另收费。销户：彻底终止用气关系，拆表封管注销账户，再用气须重新开户缴费。一年以内不用选报停，长期不用或出售选销户。,衡阳市天然气有限责任公司,衡阳天然气公司业务规范,,,,低,,
业务申请,新装申请,,残疾人办理燃气开户有优惠吗？,有。开户费优惠200元（持有效残疾证），可预约上门代办开户免收上门服务费，优先安排安装及点火上门。,衡阳市天然气有限责任公司,衡阳天然气公司优惠政策,,,,低,,
业务申请,新装申请,,低保户用气有什么补贴政策？,每月补助4立方米天然气加4元（按年结算），工程安装费可减免，安检频次增加至每年一次。低保户须每年1-3月到营业厅年审。,衡阳市天然气有限责任公司,衡阳天然气公司低保优惠政策,,,,低,,
业务申请,新装申请,,独居老人有什么燃气服务关怀？,拨打0734-8677777预约免费上门安全指导，安检人员重点检查独居老人家中设施，优先受理报修和咨询，免费更换老化软管（限首次）。,衡阳市天然气有限责任公司,衡阳天然气公司适老化服务政策,,,,低,,
业务申请,新装申请,,怎么开通天然气？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,燃气开户流程是什么？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,新家开通燃气怎么弄？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,第一次用天然气怎么申请？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,天然气开户步骤有哪些？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,请问燃气开户怎么办理？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
安全用气,设施保护,,开通管道天然气需要什么手续？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,新用户如何申请天然气？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,燃气怎么报装？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,天然气首次开通流程？,携带身份证到任一营业厅（中心：石鼓区明翰路31号；珠晖：东风南路3号；华新：白云路58号；金果路：雁峰区金果路15号），填写申请表，缴纳安装费1800元/户（残疾人持证优惠200元），15工作日内完成户外管道安装，带发票办理挂表购气，挂表后3个工作日装表，再3个工作日点火通气。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
上门服务,安装点火,,开户后多久通气？,受理后3个工作日上门踏勘，踏勘合格后5-7个工作日完成室内管道安装及挂表，装表后2个工作日气密性试验并通气。外线施工不超15个工作日，总流程约20个工作日。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,天然气安装要等多久？,受理后3个工作日上门踏勘，踏勘合格后5-7个工作日完成室内管道安装及挂表，装表后2个工作日气密性试验并通气。外线施工不超15个工作日，总流程约20个工作日。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,办完开户多久能用气？,受理后3个工作日上门踏勘，踏勘合格后5-7个工作日完成室内管道安装及挂表，装表后2个工作日气密性试验并通气。外线施工不超15个工作日，总流程约20个工作日。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,燃气开通需要等几天？,受理后3个工作日上门踏勘，踏勘合格后5-7个工作日完成室内管道安装及挂表，装表后2个工作日气密性试验并通气。外线施工不超15个工作日，总流程约20个工作日。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
业务申请,新装申请,,新房通天然气要多久？,受理后3个工作日上门踏勘，踏勘合格后5-7个工作日完成室内管道安装及挂表，装表后2个工作日气密性试验并通气。外线施工不超15个工作日，总流程约20个工作日。,衡阳市天然气有限责任公司,《城镇燃气管理条例》第十四条,,,,低,,
气费管理,收费标准,,燃气开户多少钱？,居民安装费标准：1800元/户。残疾人持证优惠200元（1600元/户），低保家庭可全额或大幅减免，煤改气集中安装团购价下浮15%-20%，低保户用气后每月补助4立方米气加4元。,衡阳市天然气有限责任公司,发改价格规〔2019〕1131号,,,,低,,
气费管理,收费标准,,装天然气要多少钱？,居民安装费标准：1800元/户。残疾人持证优惠200元（1600元/户），低保家庭可全额或大幅减免，煤改气集中安装团购价下浮15%-20%，低保户用气后每月补助4立方米气加4元。,衡阳市天然气有限责任公司,发改价格规〔2019〕1131号,,,,低,,
业务申请,新装申请,,燃气安装费多少？,居民安装费标准：1800元/户。残疾人持证优惠200元（1600元/户），低保家庭可全额或大幅减免，煤改气集中安装团购价下浮15%-20%，低保户用气后每月补助4立方米气加4元。,衡阳市天然气有限责任公司,发改价格规〔2019〕1131号,,,,低,,
政策咨询,行业标准,,天然气开户收费标准？,居民安装费标准：1800元/户。残疾人持证优惠200元（1600元/户），低保家庭可全额或大幅减免，煤改气集中安装团购价下浮15%-20%，低保户用气后每月补助4立方米气加4元。,衡阳市天然气有限责任公司,发改价格规〔2019〕1131号,,,,低,,
气费管理,收费标准,,装燃气什么价格？,居民安装费标准：1800元/户。残疾人持证优惠200元（1600元/户），低保家庭可全额或大幅减免，煤改气集中安装团购价下浮15%-20%，低保户用气后每月补助4立方米气加4元。,衡阳市天然气有限责任公司,发改价格规〔2019〕1131号,,,,低,,
业务申请,新装申请,,燃气初装费是多少？,居民安装费标准：1800元/户。残疾人持证优惠200元（1600元/户），低保家庭可全额或大幅减免，煤改气集中安装团购价下浮15%-20%，低保户用气后每月补助4立方米气加4元。,衡阳市天然气有限责任公司,发改价格规〔2019〕1131号,,,,低,,
业务申请,新装申请,,开户是否需要外地户口？,"关于""开户是否需要外地户口？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开户是否需要身份证丢了？,"关于""开户是否需要身份证丢了？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开户需要提供外地户口吗？,"关于""开户需要提供外地户口吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开户需要提供身份证丢了吗？,"关于""开户需要提供身份证丢了吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,如果外地户口怎么办？,"关于""如果外地户口怎么办？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,如果身份证丢了怎么办？,"关于""如果身份证丢了怎么办？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,外地户口情况下可以开户吗？,"关于""外地户口情况下可以开户吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,身份证丢了情况下可以开户吗？,"关于""身份证丢了情况下可以开户吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开户没带外地户口能办吗？,"关于""开户没带外地户口能办吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开户没带身份证丢了能办吗？,"关于""开户没带身份证丢了能办吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开通天然气是否需要临时身份证？,"关于""开通天然气是否需要临时身份证？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开通天然气是否需要无房产证？,"关于""开通天然气是否需要无房产证？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开通天然气需要提供临时身份证吗？,"关于""开通天然气需要提供临时身份证吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开通天然气需要提供无房产证吗？,"关于""开通天然气需要提供无房产证吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,如果临时身份证怎么办？,"关于""如果临时身份证怎么办？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,如果无房产证怎么办？,"关于""如果无房产证怎么办？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,临时身份证情况下可以办理开户吗？,"关于""临时身份证情况下可以办理开户吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,无房产证情况下可以开户吗？,"关于""无房产证情况下可以开户吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开通天然气没带临时身份证能办吗？,"关于""开通天然气没带临时身份证能办吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,开通天然气没带无房产证能办吗？,"关于""开通天然气没带无房产证能办吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,申请燃气是否需要非本人？,"关于""申请燃气是否需要非本人？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,申请燃气是否需要没时间？,"关于""申请燃气是否需要没时间？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,申请燃气需要提供非本人吗？,"关于""申请燃气需要提供非本人吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,申请燃气需要提供没时间吗？,"关于""申请燃气需要提供没时间吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,如果非本人怎么办？,"关于""如果非本人怎么办？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,如果没时间怎么办？,"关于""如果没时间怎么办？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,非本人情况下可以申请开户吗？,"关于""非本人情况下可以申请开户吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,没时间情况下可以开户吗？,"关于""没时间情况下可以开户吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,申请燃气没带非本人能办吗？,"关于""申请燃气没带非本人能办吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,新装申请,,申请燃气没带没时间能办吗？,"关于""申请燃气没带没时间能办吗？""，建议携带本人身份证原件到衡阳天然气任一营业厅（中心：石鼓区明翰路31号）咨询办理。如材料齐全一般可在15个工作日内完成安装。具体可先拨打客服热线0734-8677777了解详情。",衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
系统操作,账号管理,,开户后多久能查到户号？,开户成功后户号即时生成，可在业务回执单上查看。也可关注微信公众号通过身份证号查询。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
政策咨询,地方政策,,外地人在衡阳可以开通燃气吗？,可以。无需本地户口，提供本人身份证和房屋权属证明即可。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,欠费处理,,买房时原房主有燃气欠费怎么办？,须由原房主结清欠费后再办理过户。如原房主失联，新房主可携房产证和身份证说明情况，公司酌情处理。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
上门服务,安装点火,,开户后燃气公司什么时候来装表？,营业厅办完挂表手续后3个工作日内工作人员上门装表。装表当天请留人在家并确保厨房具备安装条件。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
气费管理,欠费处理,,二手房交易燃气欠费谁负责？,原则上由原户主在过户前结清。若已过户仍存在历史欠费争议，拨打客服热线协调处理。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
业务申请,过户变更,,办理燃气过户需要排队吗？,可通过微信公众号在线预约减少排队。营业厅高峰期（月初月末上午9:00-11:00）人较多，建议错峰办理。,衡阳市天然气有限责任公司,衡阳天然气公司服务规范,,,,低,,
