法规分类,法规名称,依据编码,法规条款,条款内容,关键词,适用场景
行业标准,家用燃气灶具,STD-002,GB 16410-2020 熄火保护,所有家用燃气灶具必须配备熄火保护装置。当火焰意外熄灭时，熄火保护装置应在60秒内自动切断燃气供应。2009年以后出厂的所有家用燃气灶都必须配备此装置。,熄火 保护 灶具 强制,熄火保护装置强制要求
行业标准,家用燃气燃烧器具安全管理规则,STD-004,GB 17905-2008 判废年限,家用燃气灶自售出之日起判废年限为8年；天然气/液化气燃气热水器判废年限为8年；人工煤气燃气热水器判废年限为6年；燃气采暖炉判废年限为8年。超期使用存在严重安全隐患，必须强制报废更换。,判废 年限 8年 报废,设备判废年限标准
部门规章,国家发展改革委关于规范城镇燃气工程安装收费的指导意见,DEP-003,发改价格规〔2019〕1131号,新建住宅的燃气配套设施建设费已统一纳入房屋开发建设成本，由开发商承担，购房者无需额外缴纳。开发商不得在购房款之外再向购房者收取燃气初装费。城镇燃气工程安装费实行最高限价管理。,安装费 开发商 初装费 限价,燃气工程安装费政策
地方规范,衡阳市发改委居民用气阶梯价格文件,LOC-003,居民阶梯气价标准,衡阳居民管道天然气阶梯价格：第一阶梯年用气量0-360立方米2.85元/立方米；第二阶梯361-600立方米3.42元/立方米；第三阶梯600立方米以上4.28元/立方米。多人口家庭（5人及以上）每增1人第一阶梯年用气量增加60立方米。,阶梯 价格 2.85 360,衡阳居民气价标准
行业标准,城镇燃气设施运行维护和抢修安全技术规程,STD-007,CJJ 51-2016 应急抢修,燃气经营者应当建立应急抢修队伍，配备必要的应急抢修设备和器材。接到燃气泄漏等事故报告后，应当立即组织抢修。市区范围内抢修人员应当在30分钟内到达现场。,抢修 应急 30分钟 泄漏,应急抢修响应要求
法律,安全生产法,LAW-001,第三条,安全生产工作坚持安全第一、预防为主、综合治理的方针。,安全 方针,燃气安全方针
法律,安全生产法,LAW-001,第三十六条,生产经营单位必须对安全设备进行经常性维护保养并定期检测。,安全设备 维护 检测,燃气设施维护要求
法律,消防法,LAW-002,第十六条,单位应落实消防安全责任制，制定消防安全制度和操作规程，制定灭火和应急疏散预案。,消防 安全 职责,燃气企业消防职责
法律,消防法,LAW-002,第二十七条,燃气用具的安装使用及其管路的设计敷设维护保养检测必须符合消防技术标准。,燃气用具 安装 消防,燃气设备消防要求
法律,价格法,LAW-003,第十三条,经营者应当按照政府价格主管部门的规定明码标价。,明码标价 收费,燃气收费公示
法律,特种设备安全法,LAW-004,第三十三条,特种设备使用单位应在投入使用前或30日内办理使用登记。,特种设备 登记,燃气锅炉登记
法律,特种设备安全法,LAW-004,第四十条,特种设备应按安全技术规范在检验有效期届满前一个月提出定期检验。,特种设备 检验 年检,压力管道检验
法律,个人信息保护法,LAW-005,第六条,处理个人信息应遵循最小必要原则，不得过度收集。,个人信息 收集,用户信息保护
法律,消费者权益保护法,LAW-006,第八条,消费者享有知悉其购买使用的商品或接受服务的真实情况的权利。,消费者 知情权,用户知情权
法律,消费者权益保护法,LAW-006,第十条,消费者享有公平交易权，有权获得质量保障和价格合理计量正确的交易条件。,公平交易 计量,计量公平权
行政法规,城镇燃气管理条例,REG-001,第一条,为加强城镇燃气管理，保障燃气供应，防止安全事故，保障人民生命财产安全，制定本条例。,立法 目的,条例立法目的
行政法规,城镇燃气管理条例,REG-001,第二十条,管道燃气经营者因施工检修需临时停气，应提前48小时公告或书面通知用户。,停气 48小时 公告,停气告知时限
行政法规,城镇燃气管理条例,REG-001,第二十八条,燃气经营者应对燃气设施定期安检并建立档案，用户应配合安检活动。,安检 定期 配合,入户安检法定要求
行政法规,城镇燃气管理条例,REG-001,第三十四条,在燃气设施保护范围内从事挖掘钻探等作业，应与燃气经营者共同制定保护方案并采取安全措施。,保护 范围 施工,保护范围施工要求
行政法规,城镇燃气管理条例,REG-001,第四十四条,未取得燃气经营许可证从事燃气经营的，处5万-50万元罚款，没收违法所得。,无证 经营 处罚,无证经营处罚
行政法规,城镇燃气管理条例,REG-001,第四十九条,擅自安装改装拆除户内燃气设施的，单位处10万元以下罚款，个人处1000元以下罚款。,擅自 改装 处罚,擅自改装处罚
行政法规,生产安全事故报告和调查处理条例,REG-002,第九条,事故发生后，单位负责人应在1小时内向县级以上安监部门报告。,事故 报告 1小时,事故报告时限
行政法规,生产安全事故报告和调查处理条例,REG-002,第三条,事故分为特别重大(30人以上死亡)、重大(10-29人)、较大(3-9人)、一般(3人以下)。,事故 分级,事故等级划分
行政法规,建设工程安全生产管理条例,REG-003,第六条,建设单位应向施工单位提供施工现场及毗邻区域内地下管线资料并保证资料真实准确完整。,地下 管线 资料,施工前管线资料要求
行政法规,建设工程质量管理条例,REG-004,第四十条,在正常使用条件下，建设工程的最低保修期限为：基础设施工程、房屋建筑的地基基础工程和主体结构工程，为设计文件规定的该工程的合理使用年限。,工程 保修 最低 期限,工程保修期
部门规章,燃气经营许可管理办法,DEP-001,第五条,申请燃气经营许可应具备符合燃气发展规划要求的稳定可靠气源和符合国标的设施等条件。,经营许可 申请,许可申请条件
部门规章,燃气经营许可管理办法,DEP-001,第十条,燃气经营许可证有效期5年，需继续经营的应在届满90日前申请延续。,许可证 5年 延续,许可证有效期
部门规章,燃气燃烧器具安装维修管理规定,DEP-002,第八条,从事燃气燃烧器具安装维修的企业应有与规模相适应的场所、设备、合格人员和健全管理制度。,安装 维修 资质,器具安装资质
部门规章,燃气燃烧器具安装维修管理规定,DEP-002,第十二条,安装燃气燃烧器具应按国家标准进行并做气密性检验。,安装 规范 气密性,器具安装规范
部门规章,发改价格规〔2019〕1131号,DEP-003,规范燃气工程安装费,新建住宅燃气配套设施费纳入开发建设成本，开发商不得另行收取燃气初装费。,安装费 开发商 初装费,燃气工程安装费
部门规章,住建部燃气服务导则,DEP-004,服务承诺,燃气经营者应公布服务承诺：供气质量、服务时限、收费标准、抢修响应时间、投诉处理时限。,服务 承诺 时限,服务承诺要求
部门规章,住建部燃气服务导则,DEP-004,投诉时限,一般投诉3个工作日内答复，复杂投诉5个工作日内告知进展、10个工作日内办结。,投诉 时限 3日,投诉处理时限
部门规章,燃气从业人员培训考核办法,DEP-005,第五条,企业主要负责人、安全管理人员、运行维护抢修人员应经培训考核合格上岗。,培训 考核 持证,持证上岗要求
部门规章,燃气从业人员培训考核办法,DEP-005,第八条,主要负责人和安全管理人员每年继续教育不少于16学时。,继续 教育 学时,继续教育要求
部门规章,中国燃气协会服务标准,DEP-006,服务窗口,服务窗口应公示服务项目、收费标准、服务承诺、投诉电话、营业时间，为特殊群体提供便利。,窗口 公示 特殊群体,服务窗口要求
地方规范,湖南省燃气管理条例,LOC-001,第七条,配套管道燃气设施应与主体工程同时设计施工验收。10层以上住宅须配套建设管道燃气设施。,湖南 三同时 配套,湖南三同时要求
地方规范,湖南省燃气管理条例,LOC-001,第十条,燃气设施保护范围内禁止修建无关建筑物、进行危害设施安全的作业、堆放易燃易爆物品。,湖南 保护 范围,湖南设施保护
地方规范,湖南省燃气管理条例,LOC-001,第十七条,燃气企业应保证供气质量安全稳定，因检修需停气应提前通知，执行安全操作规程定期检测，为用户提供安全使用指导。,湖南 供气 义务,湖南供气义务
地方规范,湖南省燃气管理条例,LOC-001,第二十条,省住建厅应公布燃气燃烧器具气源适配性目录，安装企业应安装目录内产品。,湖南 器具 目录,湖南器具适配
地方规范,湖南省燃气管理条例,LOC-001,第二十二条,燃气燃烧器具安装保修期不少于一年，因安装质量问题造成损失的安装维修企业应赔偿。,湖南 保修 一年,湖南安装保修
地方规范,湖南省燃气管理条例,LOC-001,第二十三条,燃气供应企业应与用户签订供用气合同，管道燃气合同还应明确设施维护责任。,湖南 合同 供用气,湖南供用气合同
地方规范,湖南省燃气管理条例,LOC-001,第二十六条,用户对计量有异议可申请检定。检定合格的申请人承担费用按原记录计费；不合格的企业承担费用并向前追溯最长12个月调整计费。,湖南 计量 检定 追溯,湖南计量争议
地方规范,湖南省燃气管理条例,LOC-001,第二十八条,用户不得擅自安装改装迁移管道燃气设施，不得倒灌瓶装燃气，不得进行危害设施安全的装饰装修。,湖南 用户 禁止 行为,湖南用户禁止行为
地方规范,湖南省燃气管理条例,LOC-001,第三十三条,擅自安装改装迁移管道燃气设施的，单位处10万元以下、个人处1000元以下罚款。,湖南 处罚 擅自,湖南违法处罚
地方规范,衡阳天然气服务规范,LOC-002,开户服务,居民开户实行首问负责制，材料齐全当场受理，15个工作日完成安装。残疾人持证优惠200元。,衡阳 开户 首问负责 15日,衡阳开户标准
地方规范,衡阳天然气服务规范,LOC-002,抢修响应,市区燃气泄漏抢修30分钟内到场，郊区60分钟。一般维修24小时内上门。节假日应急不中断。,衡阳 抢修 30分钟,衡阳抢修响应
地方规范,衡阳天然气服务规范,LOC-002,服务监督,公司接受12345政务服务热线、住建局燃气管理办公室、12315消费者热线等多渠道监督。,衡阳 监督 投诉,衡阳服务监督
地方规范,衡阳天然气服务规范,LOC-002,适老化服务,为独居老人提供免费上门安全指导，优先受理报修，免费更换老化软管（限首次）。,衡阳 老人 适老化,衡阳适老服务
地方规范,衡阳发改委阶梯价格文件,LOC-003,居民阶梯气价,第一阶梯0-360m3/年2.85元/m3，第二阶梯361-600m3/年3.42元/m3，第三阶梯>600m3/年4.28元/m3。多人家庭每增1人增加60m3第一阶梯基数。,衡阳 价格 阶梯,衡阳气价标准
地方规范,衡阳发改委阶梯价格文件,LOC-003,低保补贴,低保家庭每月补助4m3天然气加4元，按年结算直接抵扣账单。低保户每年1-3月到营业厅年审。,衡阳 低保 补贴,衡阳低保补贴
行业标准,城镇燃气设计规范,STD-001,GB 50028-2020,室内燃气管道应明管敷设，不得穿越卧室起居室卫生间。与电气线路水平净距>=30cm。,管道 明管 净距,室内管道规范
行业标准,家用燃气灶具,STD-002,GB 16410-2020,所有家用燃气灶必须配备熄火保护，火焰意外熄灭60秒内自动切断燃气。,熄火保护 60秒,熄火保护标准
行业标准,燃气快速热水器,STD-003,GB 6932-2015,热水器应安装在通风良好的非居住空间，严禁安装在浴室卧室。排烟管单独伸出室外。,热水器 安装 通风,热水器安装标准
行业标准,家用燃气器具安全管理规则,STD-004,GB 17905-2008,家用燃气灶判废年限8年，天然气/液化气热水器8年，人工煤气热水器6年，采暖炉8年。,判废 8年,设备判废标准
行业标准,燃气用不锈钢波纹软管,STD-005,GB 29993-2013,波纹管体用奥氏体不锈钢制造，被覆层阻燃，使用寿命>=8年。,不锈钢 波纹管 8年,软管标准
行业标准,膜式燃气表检定规程,STD-006,JJG 577-2012,天然气燃气表检定周期<=10年，到期轮换。误差限：大流量±1.5%，小流量±3%。,燃气表 检定 误差,燃气表计量标准
行业标准,城镇燃气设施运行维护规程,STD-007,CJJ 51-2016,埋地管道每年>=1次泄漏检测，架空管道每半年>=1次。检测仪器灵敏度不低于50ppm。,泄漏检测 频率,泄漏检测标准
行业标准,城镇燃气室内工程施工规范,STD-008,CJJ 94-2009,室内燃气管道安装后须做气密性试验，试验压力1.15倍设计压力且>=5kPa，稳压15分钟。,气密性 试验,气密性标准
行业标准,可燃气体探测器,STD-009,GB 15322-2019,报警设定值应在爆炸下限5%-25%，天然气报警浓度0.25%-1.25%甲烷。,报警 设定 浓度,报警器标准
行业标准,建筑设计防火规范,STD-010,GB 50016-2014,可燃气体管道严禁穿过防火墙。穿越墙或楼板时应设套管并密封。,防火 穿越 套管,防火穿越规范
行业标准,爆炸危险环境设计规范,STD-011,GB 50058-2014,使用燃气的厨房应按2区防爆设计，电气设备应选用防爆型或采取有效通风。,防爆 厨房 电气,厨房防爆标准
行业标准,天然气质量标准,STD-012,GB 17820-2018,一类天然气高位发热量>=34.0MJ/m3，总硫含量<=20mg/m3，二氧化碳含量<=3.0%。,天然气 质量 热值,天然气质量标准
